ID,Phys2Final,csem_pre,fmce_pre,Phys1Final,Percentile,Phys2A,VectorCalcPrior,Phys1A,Freshmen,MC,FR
208,52,9,14,74,93,0,1,0,0,28,24
125,53.5,3,8,67,85,0,1,1,0,32,21.5
429,73,13,26,90,96,1,1,0,0,36,37
81,66,12,NA,88,98,0,1,0,0,34,32
303,80,NA,NA,NA,NA,0,0,0,0,40,40
34,67,6,NA,NA,NA,0,0,0,0,32,35
160,68,13,NA,NA,NA,0,1,0,0,36,32
205,58.5,7,7,75,91,0,1,0,0,30,28.5
430,71.5,19,23,94,88,0,1,1,0,34,37.5
58,72,12,10,89,93,0,1,0,0,38,34
126,68.5,11,9,85.5,97,0,1,0,0,34,34.5
116,76,14,NA,NA,NA,0,1,0,0,40,36
96,79.5,7,22,84,100,0,1,0,0,40,39.5
161,57.5,10,13,49,91,0,1,0,0,34,23.5
16,57,16,NA,NA,NA,0,1,0,0,28,29
392,39,9,14,55,92,0,1,0,0,22,17
5,38,6,9,55,87,0,1,0,0,22,16
213,77,13,19,84,96,0,1,0,1,38,39
453,NA,NA,NA,NA,NA,0,0,0,0,0,0
432,66,NA,12,86,94,0,0,0,0,30,36
236,65,4,27,83,96,0,1,0,0,32,33
330,70.5,NA,NA,NA,NA,0,0,0,0,34,36.5
312,76,14,NA,NA,NA,0,1,0,0,38,38
351,60,7,16,83,100,0,1,0,0,30,30
305,61,NA,9,63,88,0,0,1,0,30,31
20,36,5,7,48,93,0,0,0,0,20,16
103,49.5,6,10,72.5,91,0,1,1,0,30,19.5
123,53.5,6,14,78.5,92,0,1,0,0,24,29.5
322,54,2,7,51,91,0,1,0,0,28,26
456,NA,6,31,71,96,1,1,1,0,0,0
452,NA,7,NA,NA,NA,0,1,0,0,0,0
315,79.5,8,NA,NA,NA,0,1,0,0,40,39.5
37,31.5,10,3,64,79,1,1,1,0,16,15.5
140,61,NA,NA,NA,NA,0,0,0,0,30,31
72,76,18,NA,NA,NA,0,1,0,0,38,38
214,75,15,23,93,98,0,1,0,1,36,39
165,58.5,11,26,74,95,0,1,0,1,30,28.5
372,67,11,17,53,88,0,1,0,1,38,29
255,66,13,26,74,96,0,1,0,1,36,30
276,46.5,8,9,63,89,0,0,0,1,26,20.5
424,64.5,8,19,58.5,94,0,1,0,1,36,28.5
387,61.5,11,NA,NA,NA,0,0,0,0,30,31.5
10,56,7,15,67,97,1,0,0,1,28,28
70,34,5,17,58,96,0,1,0,1,24,10
443,30,7,17,63.5,86,0,0,0,1,18,12
88,65.5,9,27,80,81,0,0,0,1,32,33.5
91,66.5,4,30,85,93,0,0,0,1,32,34.5
401,70.5,14,43,89,98,0,0,0,1,32,38.5
288,66.5,15,44,84,96,0,0,0,1,34,32.5
173,39.5,12,NA,65,96,0,1,0,1,28,11.5
46,64.5,12,36,84,92,0,1,0,1,28,36.5
21,63,9,28,78.5,87,0,0,0,1,32,31
329,73.5,13,28,86,96,0,1,0,1,36,37.5
130,69.5,21,NA,92,96,0,1,0,1,34,35.5
11,53.5,6,38,77,93,0,1,0,1,28,25.5
172,74,13,12,85,98,0,0,0,1,36,38
109,73.5,20,42,88,100,0,1,0,1,38,35.5
383,65.5,7,19,78,100,0,1,0,1,30,35.5
202,79,19,47,99,98,0,0,0,1,40,39
425,63.5,4,16,75,93,1,1,1,1,30,33.5
84,71,11,40,90,96,0,0,0,1,34,37
52,75,10,33,91,98,0,0,0,1,36,39
289,67,22,43,86,95,0,1,0,1,30,37
152,66,22,NA,NA,NA,0,1,0,0,38,28
410,59.5,13,23,90,99,0,1,0,1,32,27.5
211,70,19,45,86,100,0,1,0,1,32,38
