ID,Freshmen,Percentile,Phys1A,FinalExam,preFMCE
91,0,91,0,69.5,10
92,0,91,0,62,15
93,0,93,0,78,13
94,0,88,0,64,12
95,0,93,0,98,31
96,0,98,0,81,32
97,0,92,0,48,6
98,0,97,0,69,13
99,0,100,0,NA,NA
100,0,94,0,79,9
101,0,93,0,85,18
102,0,91,1,73,9
103,0,98,0,82,29
104,0,96,0,63,9
105,0,100,1,80,35
106,0,85,0,77,NA
107,0,97,0,84,45
108,0,97,0,63.5,NA
109,0,92,1,58,33
110,0,95,1,61,NA
111,0,98,0,87,20
112,0,97,0,82,26
113,0,96,0,86,16
114,0,86,0,74,34
115,0,97,0,63.5,11
116,0,95,0,86,20
117,0,97,0,77,21
118,0,96,0,76,15
119,0,96,0,65.5,21
120,1,93,0,46,9
121,0,100,0,88,42
122,0,93,0,87,15
123,0,98,0,92,30
124,0,96,0,76,24
125,0,93,0,92,18
126,0,100,0,85,38
127,0,97,0,NA,NA
128,0,100,0,95,18
129,0,96,0,90,47
130,0,98,0,91,45
131,0,93,0,46,9
132,0,82,0,46.5,11
133,0,98,0,68,23
134,0,100,1,88,17
135,0,98,0,100,45
136,0,89,1,68,9
137,0,97,0,77,25
138,0,96,0,69,32
139,0,91,0,86,9
140,0,92,0,69,24
141,0,99,0,57,19
142,0,94,0,81,8
143,0,97,0,74,18
144,0,96,0,91,33
145,0,87,0,93,17
146,0,92,1,66,26
147,0,97,0,88,14
148,0,89,0,33,11
149,0,92,0,86,44
150,0,100,0,90,47
151,0,95,0,80,NA
152,0,98,0,61,24
153,0,92,0,94,11
154,0,89,0,74,24
155,0,85,0,78,20
156,0,100,0,90,37
157,0,86,0,79,22
158,0,92,1,79,18
159,0,93,0,99,44
160,0,88,0,83,16
161,0,94,0,69,11
162,1,89,0,50,18
163,0,91,1,67,8
164,0,97,0,74.5,41
165,0,85,0,58,13
166,0,93,0,80,13
167,0,81,0,58,7
168,0,95,1,82,15
169,0,89,0,48,13
170,0,89,0,74,12
171,0,96,0,75,23
172,0,98,0,96,NA
173,0,89,0,77,6
174,0,100,0,84,38
175,0,97,0,69,34
176,0,96,0,87,42
177,0,91,1,23,NA
178,0,92,1,91,15
179,0,100,0,100,30
180,0,100,0,92,24
181,0,86,0,56,13
