ID,DATETIME,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,baseline_mean,PASSIVE_OR_ACTIVE_FIRST,PASSIVE_MIDDLE,PASSIVE_OUT,PASSIVE_IN,ACTIVE_MIDDLE,ACTIVE_OUT,ACTIVE_IN,Sex,Age,PANAS_STATE_1,PANAS_STATE_2,PANAS_STATE_3,PANAS_STATE_4,PANAS_STATE_5,PANAS_STATE_6,PANAS_STATE_7,PANAS_STATE_8,PANAS_STATE_9,PANAS_STATE_10,PANAS_STATE_11,PANAS_STATE_12,PANAS_STATE_13,PANAS_STATE_14,PANAS_STATE_15,PANAS_STATE_16,PANAS_STATE_17,PANAS_STATE_18,PANAS_STATE_19,PANAS_STATE_20,PANAS_STATE_21,PA_STATE,NA_STATE,PANAS_TRAIT_1,PANAS_TRAIT_2,PANAS_TRAIT_3,PANAS_TRAIT_4,PANAS_TRAIT_5,PANAS_TRAIT_6,PANAS_TRAIT_7,PANAS_TRAIT_8,PANAS_TRAIT_9,PANAS_TRAIT_10,PANAS_TRAIT_11,PANAS_TRAIT_12,PANAS_TRAIT_13,PANAS_TRAIT_14,PANAS_TRAIT_15,PANAS_TRAIT_16,PANAS_TRAIT_17,PANAS_TRAIT_18,PANAS_TRAIT_19,PANAS_TRAIT_20,PANAS_TRAIT_21,PA_TRAIT,NA_TRAIT
27,2022-05-12 10:54:32,3,5,3,2,4,6,4,4,5,7,7,6,7,5,7,3,5,5,4,5,6,4,5,6,3,6,4,4,6,6,7,7,5,7,6,4,5.083333333,0,0.3333,0.4167,0.3333,0.0833,-0.1667,0.75,1,19,3,1,1,1,2,2,1,1,3,3,2,3,1,3,2,3,3,2,3,1,2,2.7,1.5,4,2,4,2,4,2,1,1,4,3,2,3,2,3,2,3,4,2,5,2,4,3.7,2
28,2022-05-12 12:32:20,6,6,7,5,8,7,7,5,6,8,6,8,6,6,6,5,7,6,6,7,8,7,6,8,2,6,7,6,7,8,8,6,5,8,8,7,6.527777778,0,-0.0833,-0.1667,0.25,0.0833,0.25,0.1667,1,20,3,1,1,1,4,1,1,1,3,2,1,5,1,3,1,3,5,1,4,1,1,3.3,1,4,1,1,1,5,1,1,1,4,4,1,3,1,4,1,5,4,2,4,1,1,3.8,1.1
29,2022-05-13 08:13:40,5,6,6,8,6,1,5,5,6,8,6,5,4,5,4,5,6,7,5,7,8,3,6,7,7,8,6,7,8,5,7,6,7,5,8,6,5.944444444,1,-0.75,-0.0833,-1.0833,-0.75,0.0833,0.0833,0,21,5,1,3,1,3,1,1,1,3,1,1,4,1,5,1,5,5,1,5,1,1,3.9,1,5,1,4,1,3,1,1,1,4,4,1,3,1,4,1,4,3,1,4,1,1,3.8,1
30,2022-05-13 08:56:04,5,4,7,3,4,5,4,6,3,7,5,6,7,4,3,6,7,3,5,6,8,3,5,6,2,6,4,3,4,6,6,2,5,6,7,4,4.916666667,0,-0.6667,0.3333,0.1667,0.5,-0.1667,-0.8333,0,21,4,1,3,1,1,1,1,1,3,1,1,3,1,2,1,2,3,2,2,1,2,2.4,1.2,3,2,4,1,1,1,2,1,3,2,1,4,1,4,2,3,4,2,4,1,2,3.2,1.5
31,2022-05-13 10:05:58,7,5,8,4,6,7,5,7,4,8,6,8,5,6,6,4,7,3,5,4,7,3,6,7,1,8,5,5,6,6,4,6,5,6,7,5,5.611111111,1,-1,-0.3333,-0.5833,0,0.25,-0.3333,1,20,4,2,3,1,4,1,1,1,3,3,1,3,1,4,1,4,4,2,3,1,1,3.5,1.2,4,1,5,1,5,1,1,1,5,4,2,4,1,5,3,4,4,3,4,1,2,4.4,1.6
32,2022-05-13 11:20:24,6,5,8,3,4,6,6,5,5,2,3,3,7,8,6,1,4,4,7,6,5,4,4,6,1,7,5,5,4,3,4,7,5,8,7,5,4.972222222,0,-0.1667,0.9167,-0.8333,0,0.5833,-0.1667,0,19,4,1,3,1,3,1,1,1,3,4,2,3,1,4,2,4,3,3,4,1,1,3.5,1.4,4,2,3,3,3,2,1,1,4,5,3,3,1,4,2,5,4,3,4,1,1,3.9,1.9
34,2022-10-05 09:12:26,5,7,6,5,7,3,3,5,6,7,7,6,7,2,7,2,5,4,5,5,5,3,3,4,2,7,3,5,3,5,5,4,6,3,6,5,4.805555556,0,-0.25,0.1667,0.1667,0.1667,0.3333,-0.25,1,19,4,1,3,1,3,1,1,1,3,1,1,3,1,3,1,3,3,1,3,1,2,2.9,1.1,3,1,3,1,4,1,1,1,3,2,2,3,1,3,1,3,3,2,3,1,2,3,1.3
35,2022-10-05 09:54:50,5,4,4,5,7,7,6,5,5,5,6,7,7,6,5,8,4,3,4,4,3,6,5,3,5,7,7,5,5,5,3,3,6,6,7,7,5.277777778,1,-0.1667,-0.3333,-0.4167,-0.75,0.4167,-0.3333,1,20,4,1,3,1,2,1,1,1,4,1,1,3,1,4,2,3,4,1,4,1,2,3.2,1.2,4,2,4,2,2,1,2,1,5,2,2,3,1,5,3,5,4,3,4,2,3,3.8,2
36,2022-10-06 09:04:36,6,5,3,4,7,8,6,5,7,8,6,8,5,5,3,1,5,7,3,5,2,3,2,5,1,2,6,4,4,3,4,5,6,8,8,5,4.861111111,1,0.25,-0.0833,0.4167,0.6667,0.8333,-0.1667,1,21,3,1,2,1,3,1,1,1,2,3,1,2,1,3,1,3,3,1,2,1,1,2.6,1,4,1,2,1,4,1,1,2,3,4,2,3,1,3,1,3,4,2,4,1,1,3.4,1.3
37,2022-10-06 10:20:40,4,6,7,7,7,2,4,4,4,5,4,7,2,6,5,3,2,2,3,2,4,3,5,5,3,7,4,2,2,3,2,2,3,2,4,3,3.888888889,1,-0.25,0.5833,-0.1667,-0.25,1,0.4167,1,19,5,1,3,1,4,1,1,1,4,3,1,4,1,5,2,5,5,2,3,1,2,4.1,1.3,5,1,3,1,4,2,1,1,4,3,2,4,1,5,2,5,5,2,3,1,2,4.1,1.5
