GENDER	AGE	PT1	LT1	STEP1	TT1	RESULT1	PT2	LT2	STEP2	TT2	RESULT2	PT3	LT3	STEP3	TT3	RESULT3	PT4	LT4	STEP4	TT4	RESULT4	PT5	LT5	STEP5	TT5	RESULT5	PT6	LT6	STEP6	TT6	RESULT6	PT7	LT7	STEP7	TT7	RESULT7	PT8	LT8	STEP8	TT8	RESULT8	PT9	LT9	STEP9	TT9	RESULT9	PT10	LT10	STEP10	TT10	RESULT10
0	20.25	17328	19437	46	45593	1	27453	29453	17	35703	1	22906	25390	24	40625	1	21922	25688	27	40281	1	14813	25250	42	42016	1	16688	20797	23	30250	1	30625	36656	49	67500	1	32250	34750	39	57469	1	37532	42063	44	76469	1	127547	130313	47	167750	1
0	20	16047	22594	50	40203	1	8437	12094	17	15406	1	12218	14922	24	21203	1	8625	13281	27	20266	1	10734	20547	42	28281	1	35391	43031	29	49437	1	9437	16953	36	24141	1	6297	13078	39	22391	1	11781	12875	44	38781	1	12546	14843	49	39468	1
0	19.17	14281	18328	46	37578	1	20641	21547	17	28735	1	5312	9344	20	14703	1	17016	17953	27	27094	1	8047	12968	42	21343	1	26375	29438	23	38954	1	19235	28313	45	40422	1	14047	17110	39	35094	1	16594	17875	46	33031	1	43141	45016	46	71282	1
0	22.58	38828	40891	46	79250	1	42610	44985	17	53594	1	7984	9390	20	22546	1	72359	82078	29	104406	1	13281	25141	42	45203	1	42469	47437	23	57937	1	57828	66344	45	101156	1	69937	115937	39	162500	1	76062	109546	44	156671	1	48391	52937	46	81750	1
1	22.25	13266	14875	52	35922	1	9562	14671	17	18703	1	15000	17047	20	22782	1	6547	7688	27	16469	1	12891	18719	42	27563	1	28203	29734	23	40656	1	17781	25484	49	44281	1	11672	12797	39	24719	1	29343	30297	44	45984	1	10875	33656	50	54984	1
0	19.42	12094	16672	46	54110	1	143734	146312	17	154203	1	16141	18219	22	41735	1	12093	14187	27	33062	1	21766	35735	42	70610	1	20672	29157	23	39672	1	9390	18968	36	35937	1	51219	55813	39	74454	1	12109	13609	46	102078	1	16234	19125	46	61828	1
0	20	20188	21266	46	35156	1	33609	34109	17	37281	1	8546	9750	20	14265	1	19969	20485	29	26594	1	26797	29750	42	35187	1	13610	15141	27	19750	1	40282	42125	36	48375	1	11703	12938	39	21235	1	12953	13906	58	34328	1	15734	17391	46	29672	1
0	23.25	5766	7453	50	62937	1	5890	20937	29	59562	1	25344	26938	22	33750	1	5282	7500	27	17469	1	3094	12172	42	20407	1	6031	26000	23	31125	1	14953	30047	61	42016	1	6125	8109	39	18422	1	6906	8688	46	23578	1	22047	24281	46	37375	1
0	23.75	8172	12766	52	43203	1	15985	17328	17	23453	1	13344	14813	22	23625	1	14516	16828	27	25750	1	15891	29578	42	40125	1	7812	20296	23	25296	1	5312	22094	61	36016	1	16593	18672	39	31218	1	8938	19063	46	31984	1	6719	32032	49	48938	1
1	24.08	5890	7328	50	26578	1	17171	17828	17	21796	1	3890	5828	28	16812	1	6313	7547	29	16047	1	4453	9234	42	16828	1	28140	29625	29	36812	1	16563	20688	36	27813	1	9031	11188	39	20469	1	33437	34390	46	47640	1	14219	16312	48	35594	1
0	18.83	3563	5000	46	18828	1	17797	18469	17	21531	1	5437	6843	20	11531	1	3047	4016	27	9688	1	1672	6453	42	12640	1	1703	3266	23	7532	1	18141	20719	36	27406	1	9296	10953	39	19843	1	2640	5750	50	25500	1	14454	15704	46	26875	1
1	23.75	24500	25578	46	41562	1	30938	32797	17	36359	1	14453	15750	20	28907	1	16547	17500	27	26203	1	11297	15156	44	26969	1	7953	9422	23	16063	1	9578	15187	36	27093	1	11641	12954	39	22297	1	34203	35437	46	51453	1	20000	31922	46	54437	1
0	20.5	10890	12000	52	38875	1	1156	14344	23	18547	1	4312	15797	22	22141	1	5703	6594	29	13594	1	5641	31672	42	38172	1	29922	31563	23	36079	1	12843	18250	51	31906	1	13782	59094	47	79485	1	14890	17093	46	34062	1	13250	16266	48	44610	1
1	21.5	10953	12344	50	31203	1	22969	23500	17	26828	1	10046	12796	22	20859	1	14453	15031	27	20641	1	8265	11781	42	18343	1	8140	10906	23	15296	1	13047	16266	29	23063	1	9813	15407	39	25344	1	4829	6719	44	25500	1	15062	18016	46	33609	1
