pair	pp	group	sentence	spk_thisTrial	voice	wavfile	trial	rating	rt	participant	voiceC	trialC	recognition	simRatingPair
1_24	1	E	24	24	other	spk24_24.wav	121	2	0.654271841049	1	0.5	0.00627615062761511	0.233333333333333	1.8
1_24	1	E	17	24	other	spk24_17.wav	99	4	1.02166414261	1	0.5	-0.0857740585774058	0.233333333333333	1.8
1_24	1	E	53	24	other	spk24_53.wav	109	2	1.08864402771	1	0.5	-0.0439330543933054	0.233333333333333	1.8
1_24	1	E	22	24	other	spk24_22.wav	231	3	1.52198696136	1	0.5	0.46652719665272	0.233333333333333	1.8
1_24	1	E	29	24	other	spk24_29.wav	98	4	0.702143907547	1	0.5	-0.0899581589958159	0.233333333333333	1.8
1_24	1	E	11	24	other	spk24_11.wav	50	2	1.07189416885	1	0.5	-0.290794979079498	0.233333333333333	1.8
1_24	1	E	8	24	other	spk24_8.wav	221	1	0.370642900467	1	0.5	0.424686192468619	0.233333333333333	1.8
1_24	1	E	3	24	other	spk24_3.wav	88	1	1.60523319244	1	0.5	-0.131799163179916	0.233333333333333	1.8
1_24	1	E	54	24	other	spk24_54.wav	170	3	0.804430007935	1	0.5	0.211297071129707	0.233333333333333	1.8
1_24	1	E	15	24	other	spk24_15.wav	94	2	1.37267899513	1	0.5	-0.106694560669456	0.233333333333333	1.8
1_24	1	E	46	24	other	spk24_46.wav	238	2	0.51970410347	1	0.5	0.49581589958159	0.233333333333333	1.8
1_24	1	E	18	24	other	spk24_18.wav	104	2	0.252956151962	1	0.5	-0.0648535564853556	0.233333333333333	1.8
1_24	1	E	16	24	other	spk24_16.wav	149	3	1.30485415459	1	0.5	0.123430962343096	0.233333333333333	1.8
1_24	1	E	2	24	other	spk24_2.wav	230	2	0.871454000473	1	0.5	0.46234309623431	0.233333333333333	1.8
1_24	1	E	13	24	other	spk24_13.wav	193	1	1.07027602196	1	0.5	0.307531380753138	0.233333333333333	1.8
1_24	1	E	47	24	other	spk24_47.wav	209	1	1.00465083122	1	0.5	0.374476987447699	0.233333333333333	1.8
1_24	1	E	36	24	other	spk24_36.wav	101	3	1.53995990753	1	0.5	-0.0774058577405858	0.233333333333333	1.8
1_24	1	E	5	24	other	spk24_5.wav	208	1	0.685424089432	1	0.5	0.370292887029289	0.233333333333333	1.8
1_24	1	E	60	24	other	spk24_60.wav	103	2	0.804966926575	1	0.5	-0.0690376569037657	0.233333333333333	1.8
1_4	1	E	29	4	other	spk4_29.wav	4	4	1.43947911263	1	0.5	-0.48326359832636	0.233333333333333	2.7
1_4	1	E	44	4	other	spk4_44.wav	40	1	1.77339696884	1	0.5	-0.332635983263598	0.233333333333333	2.7
1_4	1	E	48	4	other	spk4_48.wav	123	3	1.1218688488	1	0.5	0.0146443514644351	0.233333333333333	2.7
1_4	1	E	6	4	other	spk4_6.wav	15	2	1.87401485443	1	0.5	-0.437238493723849	0.233333333333333	2.7
1_4	1	E	1	4	other	spk4_1.wav	34	2	1.62337803841	1	0.5	-0.357740585774059	0.233333333333333	2.7
1_4	1	E	43	4	other	spk4_43.wav	91	3	1.88949394226	1	0.5	-0.119246861924686	0.233333333333333	2.7
1_4	1	E	34	4	other	spk4_34.wav	22	1	0.804615020752	1	0.5	-0.407949790794979	0.233333333333333	2.7
1_4	1	E	7	4	other	spk4_7.wav	107	2	1.30570983887	1	0.5	-0.0523012552301255	0.233333333333333	2.7
1_4	1	E	58	4	other	spk4_58.wav	25	4	1.23850893974	1	0.5	-0.395397489539749	0.233333333333333	2.7
1_4	1	E	47	4	other	spk4_47.wav	43	4	1.57307600975	1	0.5	-0.320083682008368	0.233333333333333	2.7
1_4	1	E	52	4	other	spk4_52.wav	146	2	1.03642606735	1	0.5	0.110878661087866	0.233333333333333	2.7
1_4	1	E	14	4	other	spk4_14.wav	6	3	1.37250781059	1	0.5	-0.47489539748954	0.233333333333333	2.7
1_4	1	E	5	4	other	spk4_5.wav	1	2	1.67294383049	1	0.5	-0.49581589958159	0.233333333333333	2.7
1_4	1	E	45	4	other	spk4_45.wav	33	1	0.60399889946	1	0.5	-0.361924686192469	0.233333333333333	2.7
