pp	group	sentence	spk_thisTrial	voice	wavfile	trial	rating	rt	participant	voiceC	trialC	pair
4	E	4	15	other	spk15_4.wav	31	3	0.705177783966	4	0.5	0.294871794871795	4_15
4	E	6	4	self	spk4_6.wav	32	4	0.502798080444	4	-0.5	0.32051282051282	4_4
4	E	2	1	other	spk1_2.wav	33	4	0.369593143463	4	0.5	0.346153846153846	4_1
4	E	6	1	other	spk1_6.wav	34	5	0.184480905533	4	0.5	0.371794871794872	4_1
4	E	8	1	other	spk1_8.wav	35	5	0.319984197617	4	0.5	0.397435897435897	4_1
4	E	9	4	self	spk4_9.wav	36	4	0.587240934372	4	-0.5	0.423076923076923	4_4
4	E	5	4	self	spk4_5.wav	37	4	0.537333965302	4	-0.5	0.448717948717949	4_4
4	E	6	15	other	spk15_6.wav	38	4	0.804191827774	4	0.5	0.474358974358974	4_15
4	E	5	1	other	spk1_5.wav	39	5	0.370471954346	4	0.5	0.5	4_1
5	C	10	10	other	spk10_10.wav	0	4	4.84774017334	5	0.5	-0.5	5_10
5	C	4	10	other	spk10_4.wav	1	2	1.79021406174	5	0.5	-0.474358974358974	5_10
5	C	4	8	other	spk8_4.wav	2	5	4.31137704849	5	0.5	-0.448717948717949	5_8
5	C	6	5	self	spk5_6.wav	3	2	3.32658195496	5	-0.5	-0.423076923076923	5_5
5	C	1	5	self	spk5_1.wav	4	2	3.14421701431	5	-0.5	-0.397435897435897	5_5
5	C	2	5	self	spk5_2.wav	5	2	1.94004702568	5	-0.5	-0.371794871794872	5_5
5	C	2	8	other	spk8_2.wav	6	5	4.98093008995	5	0.5	-0.346153846153846	5_8
5	C	10	13	other	spk13_10.wav	7	4	3.32870006561	5	0.5	-0.32051282051282	5_13
5	C	9	10	other	spk10_9.wav	8	2	0.921700954437	5	0.5	-0.294871794871795	5_10
5	C	7	13	other	spk13_7.wav	9	4	4.27980184555	5	0.5	-0.269230769230769	5_13
5	C	6	13	other	spk13_6.wav	10	3	2.82640600204	5	0.5	-0.243589743589744	5_13
5	C	4	5	self	spk5_4.wav	11	2	1.77342104912	5	-0.5	-0.217948717948718	5_5
5	C	9	13	other	spk13_9.wav	12	3	1.80672216415	5	0.5	-0.192307692307692	5_13
5	C	3	8	other	spk8_3.wav	13	4	4.02944087982	5	0.5	-0.166666666666667	5_8
5	C	7	5	self	spk5_7.wav	14	3	2.35840010643	5	-0.5	-0.141025641025641	5_5
5	C	1	8	other	spk8_1.wav	15	3	3.26053214073	5	0.5	-0.115384615384615	5_8
5	C	2	10	other	spk10_2.wav	16	2	4.38031291962	5	0.5	-0.0897435897435898	5_10
5	C	1	10	other	spk10_1.wav	17	2	3.24371099472	5	0.5	-0.0641025641025641	5_10
5	C	2	13	other	spk13_2.wav	18	2	4.4126431942	5	0.5	-0.0384615384615384	5_13
5	C	5	5	self	spk5_5.wav	19	2	2.15823888779	5	-0.5	-0.0128205128205128	5_5
5	C	10	8	other	spk8_10.wav	20	4	1.740432024	5	0.5	0.0128205128205128	5_8
5	C	3	13	other	spk13_3.wav	21	3	2.8260140419	5	0.5	0.0384615384615384	5_13
5	C	6	8	other	spk8_6.wav	22	4	1.60661888123	5	0.5	0.0641025641025641	5_8
5	C	9	8	other	spk8_9.wav	23	3	4.2797369957	5	0.5	0.0897435897435898	5_8
5	C	8	8	other	spk8_8.wav	24	5	3.72825479507	5	0.5	0.115384615384615	5_8
5	C	8	5	self	spk5_8.wav	25	4	4.66430592537	5	-0.5	0.141025641025641	5_5
5	C	7	10	other	spk10_7.wav	26	3	2.34177112579	5	0.5	0.166666666666667	5_10
5	C	3	10	other	spk10_3.wav	27	3	3.66162109375	5	0.5	0.192307692307692	5_10
5	C	8	13	other	spk13_8.wav	28	2	3.27798700333	5	0.5	0.217948717948718	5_13
5	C	7	8	other	spk8_7.wav	29	4	2.62560892105	5	0.5	0.243589743589744	5_8
5	C	8	10	other	spk10_8.wav	30	3	0.871024847031	5	0.5	0.269230769230769	5_10
5	C	1	13	other	spk13_1.wav	31	3	2.05745387077	5	0.5	0.294871794871795	5_13
5	C	5	8	other	spk8_5.wav	32	2	3.50923013687	5	0.5	0.32051282051282	5_8
5	C	4	13	other	spk13_4.wav	33	2	1.60388708115	5	0.5	0.346153846153846	5_13
5	C	10	5	self	spk5_10.wav	34	2	2.5249068737	5	-0.5	0.371794871794872	5_5
5	C	5	13	other	spk13_5.wav	35	3	4.0290119648	5	0.5	0.397435897435897	5_13
5	C	9	5	self	spk5_9.wav	36	2	0.953712940216	5	-0.5	0.423076923076923	5_5
5	C	5	10	other	spk10_5.wav	37	4	1.03739690781	5	0.5	0.448717948717949	5_10
5	C	6	10	other	spk10_6.wav	38	4	2.22432303429	5	0.5	0.474358974358974	5_10
5	C	3	5	self	spk5_3.wav	39	3	2.5588889122	5	-0.5	0.5	5_5
6	FALSE	8	16	other	spk16_8.wav	0	3	2.33998894691	6	0.5	-0.5	6_16
6	FALSE	5	19	other	spk19_5.wav	1	2	1.80678296089	6	0.5	-0.474358974358974	6_19
6	FALSE	7	3	other	spk3_7.wav	2	3	3.34340906143	6	0.5	-0.448717948717949	6_3
6	FALSE	8	19	other	spk19_8.wav	3	2	2.17239689827	6	0.5	-0.423076923076923	6_19
6	FALSE	3	3	other	spk3_3.wav	4	2	4.01386380196	6	0.5	-0.397435897435897	6_3
6	FALSE	7	6	self	spk6_7.wav	5	2	2.7087688446	6	-0.5	-0.371794871794872	6_6
6	FALSE	1	16	other	spk16_1.wav	6	3	4.48006796837	6	0.5	-0.346153846153846	6_16
6	FALSE	2	16	other	spk16_2.wav	7	2	3.39287281036	6	0.5	-0.32051282051282	6_16
6	FALSE	9	6	self	spk6_9.wav	8	1	2.19060206413	6	-0.5	-0.294871794871795	6_6
6	FALSE	6	6	self	spk6_6.wav	9	2	2.82580089569	6	-0.5	-0.269230769230769	6_6
6	FALSE	4	3	other	spk3_4.wav	10	2	2.40813493729	6	0.5	-0.243589743589744	6_3
6	FALSE	3	6	self	spk6_3.wav	11	1	1.08861303329	6	-0.5	-0.217948717948718	6_6
6	FALSE	6	19	other	spk19_6.wav	12	2	2.67560482025	6	0.5	-0.192307692307692	6_19
6	FALSE	4	16	other	spk16_4.wav	13	3	2.15762996674	6	0.5	-0.166666666666667	6_16
6	FALSE	10	16	other	spk16_10.wav	14	3	4.61251306534	6	0.5	-0.141025641025641	6_16
6	FALSE	1	3	other	spk3_1.wav	15	2	5.44866800308	6	0.5	-0.115384615384615	6_3
6	FALSE	9	3	other	spk3_9.wav	16	2	3.71199607849	6	0.5	-0.0897435897435898	6_3
6	FALSE	10	19	other	spk19_10.wav	17	3	5.04803800583	6	0.5	-0.0641025641025641	6_19
6	FALSE	2	6	self	spk6_2.wav	18	4	0.821177959442	6	-0.5	-0.0384615384615384	6_6
6	FALSE	8	3	other	spk3_8.wav	19	3	4.89568805695	6	0.5	-0.0128205128205128	6_3
6	FALSE	2	3	other	spk3_2.wav	20	3	3.39292192459	6	0.5	0.0128205128205128	6_3
6	FALSE	1	6	self	spk6_1.wav	21	3	4.1777009964	6	-0.5	0.0384615384615384	6_6
6	FALSE	6	3	other	spk3_6.wav	22	2	1.95605397224	6	0.5	0.0641025641025641	6_3
6	FALSE	3	19	other	spk19_3.wav	23	1	3.62878298759	6	0.5	0.0897435897435898	6_19
6	FALSE	1	19	other	spk19_1.wav	24	2	4.24661898613	6	0.5	0.115384615384615	6_19
6	FALSE	10	6	self	spk6_10.wav	25	2	3.02638411522	6	-0.5	0.141025641025641	6_6
6	FALSE	5	3	other	spk3_5.wav	26	4	2.28823590279	6	0.5	0.166666666666667	6_3
6	FALSE	9	19	other	spk19_9.wav	27	2	2.49270796776	6	0.5	0.192307692307692	6_19
6	FALSE	2	19	other	spk19_2.wav	28	3	1.3054599762	6	0.5	0.217948717948718	6_19
6	FALSE	9	16	other	spk16_9.wav	29	3	3.57787919044	6	0.5	0.243589743589744	6_16
